#gen specno fitness lum vph C Mg Si S Ca Cr Ni0 Fe0
0 102 2.10091258165e+26 9.069 12927.2 0.185319 0.004131 0.303803 0.082183 0.00026 0.000277 0.000565 0.194807
0 103 3.31688394658e+26 9.048 11668.7 0.137504 5e-06 0.293804 0.365152 3e-06 0.030684 4e-05 0.025698
0 104 6.2464856753e+25 9.001 8213.6 0.005852 0.104512 0.359974 0.004573 0.004489 9.4e-05 0.002959 0.004806
0 105 2.62852174932e+26 9.023 10663.9 0.147074 2.9e-05 0.002872 0.166815 0.018372 0.001499 0.0 0.243939
0 106 3.75587281395e+26 9.051 10656.4 0.161528 4.5e-05 0.016941 0.001264 0.002018 0.003352 3.2e-05 0.031552
0 107 1.35522538425e+26 9.077 11787.0 0.121115 0.016089 0.002055 0.000149 0.019889 0.00199 0.001195 0.527192
0 108 3.08286617495e+26 9.077 13372.2 0.206594 0.000774 0.30028 0.198788 0.019029 0.001008 1.9e-05 0.089694
0 109 3.22451039237e+26 9.093 12087.2 0.177011 0.005504 0.437837 0.009587 9e-05 3.5e-05 1e-06 0.025491
0 110 1.74358097564e+26 9.071 14189.2 0.128831 0.026361 0.16075 0.184483 0.052933 0.100702 0.003668 0.000636
0 111 1.63897416102e+26 9.073 12442.7 0.176946 0.045377 0.078052 0.179804 0.043821 0.250256 0.000104 0.006469
0 112 2.37941443438e+26 9.062 14219.8 0.19353 0.053904 0.354409 0.145547 0.000199 0.001096 0.027987 0.102972
0 113 4.13288593025e+26 9.047 10026.6 0.128455 0.006688 0.02134 0.10693 0.000364 0.008966 0.001088 9.6e-05
0 114 2.25512063993e+25 9.028 9544.9 0.190257 0.14401 0.305926 0.215188 0.00139 7e-06 0.004697 0.02518
0 115 3.64471717326e+26 9.052 10651.4 0.180645 0.01421 0.000979 0.086255 0.001395 0.003424 0.134203 0.00188
0 116 1.8579286525e+22 9.038 8948.1 0.319098 0.040603 0.338275 0.145095 0.054071 0.000652 0.000126 0.033402
0 117 1.84558978364e+26 9.04 9680.2 0.154077 0.000685 0.422125 0.0001 0.001914 0.0 3e-06 0.00014
0 118 4.01562207471e+25 9.04 14584.3 0.257866 0.003651 0.001277 0.012745 5.6e-05 0.013058 4e-06 0.000907
0 119 3.98354303188e+26 9.039 14378.0 0.381203 0.140068 0.016094 0.043303 0.044925 1.6e-05 0.001139 0.017569
0 120 2.67170826603e+26 9.057 11298.5 0.00035 0.042069 0.525605 0.33483 4.3e-05 0.002197 0.000616 0.000752
0 121 2.18208943524e+25 9.091 9411.4 0.004895 7e-06 0.461351 0.150975 0.009603 0.002162 0.004466 0.027308
0 122 3.46831634358e+25 9.056 9215.5 0.226451 0.006633 0.016196 0.020836 0.006812 4e-06 0.001267 0.085686
0 123 3.89641756324e+26 9.022 9540.8 0.078827 0.036715 0.363313 0.158623 0.063308 8e-06 0.011264 0.026102
0 124 7.91455913228e+25 9.031 8115.5 0.184637 0.039213 0.004722 6.5e-05 0.022177 0.003516 0.000323 0.000222
0 125 8.95257904898e+24 9.099 9327.6 0.203581 9e-06 0.292972 0.002749 0.05624 3e-06 1.9e-05 0.099174
0 126 1.12533794318e+25 9.064 8458.6 0.111928 0.109399 0.35905 0.148991 0.028334 4e-06 0.09536 0.000203
0 127 8.10184710986e+25 9.018 9451.6 0.190964 0.000115 0.001107 0.19016 0.094063 0.00038 3e-06 9.9e-05
0 128 3.14881440669e+26 9.028 13071.0 0.000999 0.124105 0.306234 0.115099 0.000124 7.6e-05 3.1e-05 0.001712
0 129 3.56336431414e+26 9.016 13189.1 0.037283 0.00015 0.356863 0.144503 0.345764 3e-06 0.001685 4e-06
0 130 3.67482576941e+22 9.042 8014.9 0.220249 0.027437 0.398442 0.155692 0.017031 1.4e-05 3.4e-05 0.00016
0 131 2.5360550662e+25 9.003 9572.2 0.168998 0.066377 0.332451 0.009387 0.01912 8.3e-05 0.044746 0.004877
0 132 3.05968639106e+26 9.06 9537.7 0.004751 0.001 0.000516 0.045576 5.3e-05 0.000708 0.21327 0.000188
0 133 3.86320497104e+26 9.046 10474.5 0.000891 0.069542 0.306135 0.214907 0.000166 0.065297 0.000328 0.001593
0 134 3.0960741847e+26 9.093 13841.2 0.146341 0.000997 0.159644 0.000827 0.05655 2.7e-05 0.027048 0.019574
0 135 2.78096168404e+26 9.019 12444.4 0.000861 0.000171 0.0345 0.300397 0.033271 0.000142 1.5e-05 0.022384
0 136 1.90143862209e+23 9.068 8145.4 0.115647 0.061732 0.341253 0.250425 8.1e-05 0.000868 0.00013 0.083322
0 137 3.61869318679e+26 9.025 11408.7 0.000937 0.038377 0.461147 0.001576 0.013306 0.000117 0.037003 0.075268
0 138 6.5517706868e+25 9.039 9292.7 0.25631 0.062919 0.321169 0.011062 0.049164 0.001172 1e-06 0.131964
0 139 1.04249850672e+26 9.012 9032.8 0.133304 0.064915 0.442281 0.145454 0.005143 0.000762 1.8e-05 0.075273
0 140 1.55447582309e+25 9.018 9176.8 0.139267 0.008736 0.004712 0.351142 0.012612 0.000452 0.001164 0.154851
0 141 5.72510337951e+24 9.0 8845.6 0.140289 0.146885 0.000163 0.017353 0.034448 0.000869 0.004059 0.196617
0 142 2.67051332739e+23 9.052 8131.4 0.268011 0.005506 0.000165 0.297058 0.001826 1.8e-05 0.027941 0.020497
0 143 6.66447952209e+25 9.068 8904.3 0.250179 0.046857 0.032071 0.005664 0.003235 0.000147 0.001969 0.0972
0 144 4.93814375666e+25 9.1 8872.4 0.010823 0.055844 0.372304 0.184003 0.000893 1.6e-05 0.029586 0.016489
0 145 9.52330742367e+24 9.002 8219.4 0.134536 0.051307 0.301653 0.092316 0.193687 0.001581 0.0 0.04683
0 146 5.58146762226e+24 9.037 8871.0 0.245155 0.004737 0.327239 0.290543 0.029814 0.020625 0.000514 0.018628
0 147 1.5313505427e+24 9.08 8394.3 0.002355 0.067854 0.111307 0.06527 0.010744 0.003439 0.006694 0.040592
0 148 8.37857180218e+24 9.018 8603.2 0.103462 0.000975 0.270018 0.011899 0.00354 0.012627 0.0 0.010898
0 149 3.85477357113e+26 9.019 9185.7 0.000611 0.002805 0.302263 0.16803 0.004779 0.0 0.109299 0.135587
1 0 5.28963984214e+26 9.049 10029.2 0.013009 0.042612 0.342348 0.024141 0.000326 0.003634 0.00158 0.006321
1 1 4.93030943253e+26 9.037 12504.7 0.145649 9.1e-05 0.230361 0.162273 0.020914 0.005988 1e-06 0.002153
1 2 4.88121663937e+26 9.061 13995.9 0.002235 0.408999 0.027539 0.163473 0.023059 2e-06 0.005186 6e-06
1 3 4.80726516007e+26 9.06 12941.2 0.005654 0.143307 0.333456 0.004484 0.032715 7.8e-05 0.000318 7e-06
1 4 4.72750666856e+26 9.048 14068.2 0.001755 0.106178 0.394528 2e-05 0.028493 0.001254 0.001787 0.000323
1 5 4.57638682953e+26 9.007 11493.6 0.01677 0.000244 0.021754 0.000673 0.041061 0.0 0.001886 0.001754
1 6 4.56163897715e+26 9.008 12933.4 0.150715 0.004716 0.275428 0.004345 0.056626 0.0014 8e-06 6e-06
1 7 4.53185526337e+26 9.049 9944.6 2.2e-05 0.003877 0.037474 0.000582 0.023459 0.001611 3e-06 0.001326
1 8 4.39678690417e+26 9.06 11922.1 0.194295 0.013757 0.009249 0.17378 0.080797 2.8e-05 0.013028 0.066924
1 9 4.27048358737e+26 9.088 13640.5 0.104058 0.088208 0.346977 9.3e-05 0.17907 8e-06 0.019646 0.00224
1 10 4.26091706411e+26 9.048 11128.4 0.003199 0.002434 0.015246 0.167048 0.001896 0.008252 6e-05 0.000739
1 11 4.16864732499e+26 9.05 9678.2 0.000213 0.099927 0.425243 0.147995 0.054323 0.000138 3e-06 0.027082
1 12 4.13288593025e+26 9.047 10026.6 0.128455 0.006688 0.02134 0.10693 0.000364 0.008966 0.001088 9.6e-05
1 13 4.11975687492e+26 9.006 10653.2 0.152833 0.001022 0.000276 0.330537 0.302958 3e-06 0.00907 0.051438
1 14 3.98354303188e+26 9.039 14378.0 0.381203 0.140068 0.016094 0.043303 0.044925 1.6e-05 0.001139 0.017569
1 15 2.014453245e+26 9.017 12243.1 0.006 0.000519 0.43207 0.198944 0.009888 1e-06 2e-06 1.5e-05
1 16 2.62571367826e+26 9.016 12504.7 0.038773 0.00015 0.356863 0.162273 0.020914 3e-06 0.001685 4e-06
1 17 2.33694391498e+26 9.017 12710.0 0.007131 0.201891 0.323192 0.158532 0.000782 2e-06 0.000195 0.000919
1 18 3.16439661426e+26 9.017 13188.8 0.005654 0.143307 0.333456 0.158532 0.035021 2e-06 0.000195 7e-06
1 19 2.33694391498e+26 9.017 12710.0 0.007131 0.201891 0.323192 0.158532 0.000782 2e-06 0.000195 0.000919
1 20 2.50628544843e+26 9.024 12710.0 0.007131 0.075346 0.323192 0.158532 0.000782 2e-06 0.000195 0.000919
1 21 2.68509417574e+26 9.054 13189.1 0.037283 0.00015 0.356863 0.144503 2e-06 3e-06 0.001791 4e-06
1 22 4.23359951624e+26 9.06 11810.5 0.044648 0.143307 0.333456 0.040513 0.032715 7.8e-05 0.000693 7e-06
1 23 3.04221081483e+26 9.017 13755.7 0.007131 0.205567 0.323192 0.158532 0.000782 2e-06 0.000195 0.000919
1 24 2.44380629895e+26 9.017 12710.0 0.007131 0.203449 0.323192 0.158532 0.000782 2e-06 0.000195 0.000834
1 25 3.61026482866e+26 9.016 13808.4 0.037283 0.062814 0.356863 0.144503 0.015222 3e-06 0.001685 4e-06
1 26 2.53137737696e+26 9.017 12710.0 0.007131 0.201891 0.323192 0.158532 0.000782 2e-06 0.000184 0.000919
1 27 3.59333564364e+26 9.048 11216.0 0.005654 0.143307 0.232552 0.038848 0.032715 7.8e-05 9.2e-05 7e-06
1 28 3.4903849836e+26 9.044 13808.4 0.001132 0.062814 0.311948 0.041119 0.000782 2e-06 0.000673 0.000919
1 29 4.38601321766e+26 9.088 13753.2 0.004895 0.088208 0.346977 0.150975 0.009603 8e-06 0.004466 0.00224
1 30 2.50672594871e+26 9.057 13299.9 0.038434 0.00041 0.374929 0.277933 6e-06 9.6e-05 0.000481 0.001347
1 31 2.60044679574e+26 9.007 13557.2 0.079627 0.064 0.467311 0.179776 7e-06 1e-06 0.00056 0.000351
1 32 3.01170926627e+26 9.017 12710.0 0.121115 0.201891 0.323192 0.158532 0.019889 2e-06 0.000195 0.000919
1 33 1.29336192028e+26 9.075 14723.7 0.079426 0.040361 0.338868 0.273705 0.011194 1e-06 0.05266 0.000351
1 34 3.3716221941e+26 9.057 13291.3 0.038434 0.00041 0.311473 0.155269 6e-06 0.003351 0.000921 0.001347
1 35 3.0884145705e+26 9.017 11216.0 0.001868 0.102111 0.232552 0.038848 0.004498 0.000294 9.2e-05 0.000919
1 36 3.4818441749e+26 9.032 12201.8 0.007296 0.000366 0.19151 0.086255 0.001395 0.001342 0.001074 0.00188
1 37 2.91235649811e+26 9.016 13189.1 0.037283 0.00015 0.356863 0.144503 0.009957 3e-06 0.001685 4e-06
1 38 4.38437187944e+26 9.13 14378.0 0.013009 0.042612 0.342348 0.043303 0.044925 1.6e-05 0.001447 0.006321
1 39 2.37732502668e+26 9.046 11706.6 0.000891 0.069542 0.306135 0.208875 0.00174 5.7e-05 0.000328 0.000358
1 40 2.92036945225e+26 9.074 11402.4 0.07498 0.165667 0.500365 0.078827 0.009957 4.7e-05 0.000115 1.9e-05
1 41 2.33255614227e+26 9.061 10516.4 0.000959 0.18905 0.317643 0.189587 0.00045 0.00046 0.00078 6e-06
1 42 5.18858842874e+26 9.037 12504.7 0.01677 9.1e-05 0.230361 0.162273 0.041061 0.00557 0.001886 0.001754
1 43 2.16743830842e+25 9.064 8872.4 0.003847 0.051666 0.412251 0.184003 4e-05 1.6e-05 0.000178 0.000502
1 44 5.18488382786e+26 9.048 14068.2 0.001755 0.106178 0.394528 0.147995 0.028493 0.001254 0.001787 0.000323
1 45 2.8764438604e+26 9.054 12710.0 0.000959 0.201891 0.323192 0.158532 0.00045 2e-06 0.00078 0.000919
1 46 4.19782059958e+26 9.095 13566.6 0.01922 0.106178 0.394528 0.21107 0.028493 0.001254 0.001787 0.000323
1 47 3.78621055888e+26 9.069 12927.2 0.001755 0.106178 0.303803 0.082183 0.00026 0.001254 0.000565 0.000323
1 48 2.52195008262e+26 9.001 11973.1 0.068107 0.000192 0.304105 0.167575 0.000585 0.000512 0.018226 0.000952
1 49 2.11147010395e+26 9.156 10522.3 0.005654 0.014002 0.06305 0.018868 7.9e-05 5e-05 0.028036 7e-06
1 50 2.68049087252e+26 9.046 13217.3 0.000891 0.069542 0.306135 0.214907 0.000166 3e-06 0.000328 0.001593
1 51 1.64934651202e+26 9.016 10029.2 0.037283 0.042612 0.356863 0.144503 0.000326 3e-06 0.001685 4e-06
1 52 4.26620029364e+26 9.06 13329.3 0.007296 0.134033 0.333456 0.215379 0.032715 0.001342 0.000318 7e-06
1 53 3.27617551219e+26 9.06 13004.4 0.005654 0.004254 0.333456 0.262775 0.032715 0.000482 0.000684 7e-06
1 54 2.54365180464e+26 9.029 12710.0 0.04176 0.036406 0.387002 0.158532 0.000342 2e-06 0.000195 0.000919
1 55 2.37938060496e+26 9.017 12710.0 0.038235 0.00015 0.302952 0.158532 0.000782 2e-06 0.000195 0.000919
1 56 2.32971565497e+26 9.067 11128.0 0.124283 0.000255 0.500365 0.160769 0.0011 4.7e-05 0.00248 0.002193
1 57 2.19522675143e+26 9.057 11298.5 0.001097 0.085261 0.525605 0.33483 4.3e-05 0.000828 0.000616 0.000745
1 58 1.72049618877e+26 9.05 9678.2 0.007131 0.201891 0.323192 0.158532 0.000782 2e-06 0.000195 0.000919
1 59 2.54594275293e+26 9.017 12710.0 0.007131 0.201891 0.323192 0.163615 0.000782 2e-06 0.000195 0.000919
1 60 3.60153896044e+26 9.067 13189.1 0.037283 0.000974 0.356863 0.144503 7e-06 0.006214 0.001685 4e-06
1 61 2.92955472736e+26 9.087 9975.3 0.00281 0.026301 0.358615 0.166274 0.019029 1.4e-05 0.001016 0.004634
1 62 2.24511544465e+26 9.017 12710.0 0.000891 0.069542 0.323192 0.214907 0.000166 2e-06 0.000328 0.000919
1 63 3.48890246875e+26 9.066 14145.1 0.033506 0.006083 0.375174 0.262775 0.003224 0.000482 0.000684 0.000104
1 64 3.18920677002e+26 9.017 12710.0 0.007131 0.201891 0.323192 0.040513 0.000782 2e-06 0.000693 0.000919
1 65 2.43975302749e+26 9.074 11128.0 0.124283 0.042069 0.500365 0.160769 0.0011 4.7e-05 0.00248 0.000752
1 66 2.84034345383e+26 9.057 10681.4 0.00035 0.042069 0.525605 0.33483 0.001395 0.002197 0.000616 0.000752
