  2509.17    0.12048E-15    0.89252E-17    0.22186-159    0.16436-160    0.78314E-15
  2791.61    0.28245E-14    0.27753E-15    0.34068E-14    0.33475E-15    0.12932E-14
  2794.53    0.29687E-14    0.29247E-15    0.35714E-14    0.35184E-15    0.12988E-14
  2797.45    0.30853E-14    0.30475E-15    0.34644E-14    0.34219E-15    0.13045E-14
  2800.38    0.31648E-14    0.31342E-15    0.30940E-14    0.30641E-15    0.13102E-14
  2803.31    0.32727E-14    0.32496E-15    0.40136E-14    0.39852E-15    0.13159E-14
  2806.24    0.34020E-14    0.33868E-15    0.43909E-14    0.43713E-15    0.13217E-14
  2809.18    0.36015E-14    0.35948E-15    0.39852E-14    0.39777E-15    0.13274E-14
  2812.12    0.37991E-14    0.38019E-15    0.31153E-14    0.31176E-15    0.13332E-14
  2815.06    0.39076E-14    0.39206E-15    0.33225E-14    0.33336E-15    0.13389E-14
  2818.00    0.39870E-14    0.40108E-15    0.33706E-14    0.33907E-15    0.13447E-14
  2820.95    0.41471E-14    0.41827E-15    0.31840E-14    0.32113E-15    0.13505E-14
  2823.90    0.43215E-14    0.43699E-15    0.40228E-14    0.40678E-15    0.13563E-14
  2826.86    0.44973E-14    0.45594E-15    0.48623E-14    0.49295E-15    0.13621E-14
  2829.82    0.46632E-14    0.47399E-15    0.44155E-14    0.44881E-15    0.13679E-14
  2832.78    0.47391E-14    0.48296E-15    0.50039E-14    0.50994E-15    0.13737E-14
  2835.74    0.48436E-14    0.49488E-15    0.55078E-14    0.56275E-15    0.13796E-14
  2838.71    0.49583E-14    0.50791E-15    0.48102E-14    0.49274E-15    0.13854E-14
  2841.68    0.50297E-14    0.51655E-15    0.46821E-14    0.48085E-15    0.13913E-14
  2844.65    0.50638E-14    0.52140E-15    0.43883E-14    0.45184E-15    0.13972E-14
  2847.63    0.50855E-14    0.52499E-15    0.36790E-14    0.37978E-15    0.14031E-14
  2850.61    0.51827E-14    0.53640E-15    0.44006E-14    0.45545E-15    0.14090E-14
  2853.59    0.53046E-14    0.55042E-15    0.49918E-14    0.51796E-15    0.14149E-14
  2856.57    0.53372E-14    0.55522E-15    0.65698E-14    0.68345E-15    0.14208E-14
  2859.56    0.53049E-14    0.55328E-15    0.65115E-14    0.67913E-15    0.14267E-14
  2862.55    0.51621E-14    0.53977E-15    0.61563E-14    0.64372E-15    0.14327E-14
  2865.55    0.50825E-14    0.53280E-15    0.57329E-14    0.60099E-15    0.14386E-14
  2868.55    0.51697E-14    0.54333E-15    0.50022E-14    0.52572E-15    0.14446E-14
  2871.55    0.52325E-14    0.55134E-15    0.48450E-14    0.51051E-15    0.14506E-14
  2874.55    0.52022E-14    0.54954E-15    0.49576E-14    0.52371E-15    0.14565E-14
  2877.56    0.51663E-14    0.54714E-15    0.50914E-14    0.53922E-15    0.14625E-14
  2880.57    0.50205E-14    0.53306E-15    0.56820E-14    0.60329E-15    0.14685E-14
  2883.59    0.49221E-14    0.52394E-15    0.53244E-14    0.56676E-15    0.14746E-14
  2886.60    0.48509E-14    0.51768E-15    0.36101E-14    0.38526E-15    0.14806E-14
  2889.62    0.47683E-14    0.51015E-15    0.36513E-14    0.39064E-15    0.14866E-14
  2892.65    0.46783E-14    0.50179E-15    0.25783E-14    0.27654E-15    0.14927E-14
  2895.67    0.46723E-14    0.50242E-15    0.29589E-14    0.31817E-15    0.14987E-14
  2898.70    0.46242E-14    0.49850E-15    0.31173E-14    0.33605E-15    0.15048E-14
  2901.74    0.45668E-14    0.49356E-15    0.30803E-14    0.33291E-15    0.15109E-14
  2904.77    0.44734E-14    0.48469E-15    0.32247E-14    0.34939E-15    0.15170E-14
  2907.81    0.44380E-14    0.48207E-15    0.29674E-14    0.32233E-15    0.15231E-14
  2910.85    0.44416E-14    0.48367E-15    0.28037E-14    0.30531E-15    0.15292E-14
  2913.90    0.44604E-14    0.48695E-15    0.32688E-14    0.35685E-15    0.15353E-14
  2916.95    0.44394E-14    0.48587E-15    0.39714E-14    0.43466E-15    0.15414E-14
  2920.00    0.44045E-14    0.48326E-15    0.51075E-14    0.56040E-15    0.15475E-14
  2923.06    0.43113E-14    0.47422E-15    0.59187E-14    0.65103E-15    0.15537E-14
  2926.11    0.42734E-14    0.47124E-15    0.51295E-14    0.56563E-15    0.15598E-14
  2929.18    0.42493E-14    0.46975E-15    0.44105E-14    0.48757E-15    0.15660E-14
  2932.24    0.42211E-14    0.46780E-15    0.37923E-14    0.42027E-15    0.15722E-14
