#SELECT
#   TOP 10000
#   pmra, pmde
#   FROM ppmxl.main
#   WHERE 
#      1=CONTAINS(POINT('ICRS', raj2000, dej2000),
#                 CIRCLE('ICRS', 6.3, 64.1, 2 ))#
#	and (r1mag-kmag)<1.185
#	and e_kmag<0.4
#	and r1mag>16
#pmra pmde
-3.26389E-6 3.61667E-6
7.13889E-7 -4.40556E-6
7.77778E-8 -1.93889E-6
-1.38333E-6 2.51944E-6
-7.08056E-6 -6.76111E-6
6.03611E-6 -1.20278E-6
2.50111E-5 -5.45583E-5
-1.23056E-6 -1.13333E-6
4.64139E-5 -3.995E-5
-1.85556E-6 1.10167E-5
-5.48333E-6 5.225E-6
1.01611E-5 -1.69444E-7
5.76944E-5 -6.53667E-5
1.74722E-6 1.11222E-5
-9.83333E-7 -2.77778E-7
-7.875E-6 -4.44167E-6
4.89444E-6 -2.42778E-6
-1.02944E-5 1.43861E-5
5.28194E-5 -7.83917E-5
3.84806E-5 -2.74694E-5
-1.72E-5 -4.36139E-5
-1.04722E-6 -5.07222E-6
-2.23889E-6 -2.27222E-6
-4.83889E-6 3.35E-6
7.13889E-7 -5.26944E-6
-1.35833E-6 7.02778E-6
-1.80861E-5 9.025E-6
1.19722E-5 6.88056E-6
-1.62778E-6 -1.08083E-5
7.30556E-7 -1.45E-6
-4.42222E-6 7.63278E-5
2.18611E-6 1.325E-6
-1.55556E-6 4.02222E-6
4.65056E-5 -1.04586E-4
-4.825E-6 1.56944E-6
4.44722E-6 1.06389E-6
-7.12889E-5 -5.73361E-5
-6.39167E-6 2.00556E-6
2.95278E-6 -8.02778E-7
-2.07222E-6 1.02778E-7
-6.50556E-6 -6.72222E-7
-1.04722E-6 -3.27778E-7
-6.97778E-6 2.14167E-6
-2.36667E-6 1.69722E-6
3.08889E-6 3.27778E-6
-4.41667E-6 -1.23389E-5
5.38833E-5 -8.15389E-5
8.72778E-6 3.40833E-6
-1.80278E-6 -2.03611E-6
-2.09222E-5 -4.34528E-5
-2.54167E-6 1.05722E-5
6.02778E-6 1.52778E-7
-1.04167E-6 -8.12778E-6
-9.775E-6 1.29722E-6
-2.55833E-6 1.67194E-5
1.02778E-6 -1.25389E-5
2.26111E-6 5.11083E-5
-4.6E-6 2.80611E-5
3.70306E-5 6.31972E-5
-2.03889E-6 7.96667E-6
1.51694E-5 -6.43278E-5
-2.28333E-6 -1.66667E-7
2.16667E-7 -1.13333E-6
-3.16556E-5 2.27167E-5
-5.82222E-6 2.80278E-6
-1.63611E-6 -1.16583E-5
-7.86111E-7 -1.0E-7
-1.39722E-6 -4.73333E-6
-6.36389E-6 5.94722E-6
5.56472E-5 -3.52278E-5
1.11889E-5 -2.50583E-5
1.575E-6 -3.75E-6
-1.64472E-5 -3.65E-6
5.65361E-5 -1.31225E-4
-3.18556E-5 4.02472E-5
2.81806E-5 1.31611E-5
-1.27778E-7 2.80556E-6
8.16111E-6 1.54444E-6
6.15278E-6 2.81667E-6
5.35E-6 6.89167E-6
-9.86111E-7 1.87778E-6
-3.33333E-7 -1.97222E-7
2.55556E-6 -4.13889E-7
4.78611E-6 -1.86944E-6
-7.71389E-6 -1.31E-5
-1.92222E-6 -5.85E-6
5.4325E-5 -3.93472E-5
1.27778E-6 -5.2775E-5
-1.27222E-6 9.49167E-6
5.26667E-6 -1.27167E-5
-3.65278E-6 -2.21667E-6
-4.61111E-6 -5.22222E-6
2.26111E-6 -1.32222E-6
-1.21944E-6 4.72222E-7
-1.52167E-5 2.50917E-5
-8.50833E-6 5.05E-6
-6.03056E-6 -3.53611E-6
3.61111E-7 -1.49167E-6
2.5E-6 -4.91389E-6
-2.82222E-6 5.825E-6
-3.31667E-6 -1.04167E-6
4.91389E-6 4.77778E-7
4.13333E-6 5.65278E-6
-1.73611E-6 2.48889E-6
2.11389E-6 2.05278E-6
5.06667E-6 1.20556E-6
-3.02778E-7 5.25E-6
-3.67778E-6 -2.58333E-7
-5.29167E-6 -2.13889E-7
-3.61389E-5 7.44417E-5
-5.15833E-6 5.27028E-5
-1.81389E-5 -6.32222E-5
5.80778E-5 -6.69833E-5
-1.7075E-5 -6.54833E-5
2.79361E-5 -2.92583E-5
-2.03583E-5 6.52028E-5
-1.40111E-5 8.97222E-7
-6.35278E-6 3.91389E-6
4.88889E-6 1.92222E-6
1.24306E-5 -5.94472E-5
-1.79722E-6 -2.81389E-6
-3.20833E-6 -1.61111E-6
-1.0375E-5 -2.70833E-6
9.16944E-6 4.45278E-6
-4.26389E-6 5.27778E-6
-1.195E-5 2.15778E-5
-8.36111E-6 2.21389E-6
-4.17222E-6 -9.45833E-6
-9.64444E-6 3.77778E-7
