#SELECT
#   TOP 10000
#   pmra, pmde, e_pmra, e_pmde
#   FROM ppmxl.main
#   WHERE
#      1=CONTAINS(POINT('ICRS', raj2000, dej2000),
#                 CIRCLE('ICRS', 6.3, 64.1, 2 ))
#	and (r1mag-kmag)<1.
#	and e_kmag<0.4
#	and r1mag>16
#

# pmra          pmde          e_pmra       e_pmde      
  -1.72E-5      -4.36139E-5   1.75E-6      1.75E-6     
  7.13889E-7    -5.26944E-6   1.16667E-6   1.38889E-6  
  -1.80861E-5   9.025E-6      1.58333E-6   1.55556E-6  
  1.19722E-5    6.88056E-6    1.33333E-6   1.25E-6     
  7.30556E-7    -1.45E-6      1.16667E-6   1.16667E-6  
  -4.42222E-6   7.63278E-5    1.52778E-6   1.52778E-6  
  4.65056E-5    -1.04586E-4   1.63889E-6   1.86111E-6  
  -4.825E-6     1.56944E-6    1.33333E-6   1.19444E-6  
  -6.39167E-6   2.00556E-6    1.19444E-6   1.19444E-6  
  2.95278E-6    -8.02778E-7   1.19444E-6   1.16667E-6  
  3.08889E-6    3.27778E-6    1.22222E-6   1.22222E-6  
  5.38833E-5    -8.15389E-5   1.41667E-6   1.22222E-6  
  -2.09222E-5   -4.34528E-5   1.63889E-6   1.63889E-6  
  2.26111E-6    5.11083E-5    1.61111E-6   1.61111E-6  
  -4.6E-6       2.80611E-5    1.58333E-6   1.58333E-6  
  3.70306E-5    6.31972E-5    1.27778E-6   1.38889E-6  
  -2.03889E-6   7.96667E-6    1.55556E-6   1.55556E-6  
  2.16667E-7    -1.13333E-6   1.25E-6      1.38889E-6  
  -1.64472E-5   -3.65E-6      1.63889E-6   1.63889E-6  
  5.65361E-5    -1.31225E-4   1.30556E-6   1.36111E-6  
  -3.18556E-5   4.02472E-5    1.52778E-6   1.52778E-6  
  2.81806E-5    1.31611E-5    1.58333E-6   1.58333E-6  
  8.16111E-6    1.54444E-6    1.36111E-6   1.36111E-6  
  5.35E-6       6.89167E-6    1.16667E-6   1.19444E-6  
  -9.86111E-7   1.87778E-6    1.33333E-6   1.33333E-6  
  -3.65278E-6   -2.21667E-6   1.25E-6      1.38889E-6  
  -4.61111E-6   -5.22222E-6   1.16667E-6   1.16667E-6  
  2.26111E-6    -1.32222E-6   1.44444E-6   1.19444E-6  
  2.5E-6        -4.91389E-6   1.25E-6      1.25E-6     
  4.13333E-6    5.65278E-6    1.58333E-6   1.58333E-6  
  -3.61389E-5   7.44417E-5    1.36111E-6   1.36111E-6  
  -5.15833E-6   5.27028E-5    1.25E-6      1.27778E-6  
  5.80778E-5    -6.69833E-5   1.36111E-6   1.5E-6      
  4.88889E-6    1.92222E-6    1.30556E-6   1.30556E-6  
  -1.195E-5     2.15778E-5    1.72222E-6   1.72222E-6  
  -8.36111E-6   2.21389E-6    1.22222E-6   1.19444E-6  
  -4.17222E-6   -9.45833E-6   1.61111E-6   1.61111E-6  
  -3.80556E-7   1.91944E-6    1.19444E-6   1.33333E-6  
  -8.825E-6     2.74722E-6    1.61111E-6   1.61111E-6  
  -3.525E-6     -9.04444E-6   1.13889E-6   1.13889E-6  
  -6.35278E-6   5.17778E-6    1.19444E-6   1.33333E-6  
  -8.19444E-7   1.53333E-5    1.69444E-6   1.69444E-6  
  5.85417E-5    -7.58333E-5   1.30556E-6   1.41667E-6  
  -2.1825E-5    -4.90361E-5   1.47222E-6   1.47222E-6  
  1.86889E-5    2.9525E-5     1.69444E-6   1.69444E-6  
  -2.99806E-5   -8.41667E-7   1.63889E-6   1.63889E-6  
  6.14972E-5    -3.42111E-5   1.30556E-6   1.30556E-6  
  -1.41944E-6   1.33611E-6    1.47222E-6   1.19444E-6  
  -2.46194E-5   -4.69806E-5   1.58333E-6   1.69444E-6  
  4.25139E-5    -4.21222E-5   1.25E-6      1.30556E-6  
  2.89917E-5    1.1475E-5     1.44444E-6   1.44444E-6  
  -4.48028E-5   -2.08917E-5   1.69444E-6   1.69444E-6  
  -4.03583E-5   -3.08028E-5   1.27778E-6   1.27778E-6  
  -7.08889E-6   -7.26944E-6   1.58333E-6   1.58333E-6  
  -1.21111E-5   4.19778E-5    1.22222E-6   1.36111E-6  
  6.28583E-5    -3.7125E-5    1.36111E-6   1.36111E-6  
  3.80528E-5    -5.34972E-5   1.30556E-6   1.30556E-6  
  2.16944E-6    -1.08056E-6   1.72222E-6   1.72222E-6  
  -1.03889E-6   -3.22222E-6   1.19444E-6   1.19444E-6  
  -8.825E-6     -1.59167E-6   1.63889E-6   1.63889E-6  
  1.00972E-5    3.54917E-5    1.30556E-6   1.30556E-6  
  -4.06111E-5   3.92306E-5    1.69444E-6   1.86111E-6  
  6.04944E-5    -7.01444E-5   1.38889E-6   1.38889E-6  
  1.48028E-5    -5.87E-5      1.30556E-6   1.58333E-6  
  -5.13889E-6   8.41111E-6    1.22222E-6   1.36111E-6  
  3.12806E-5    1.35306E-5    1.72222E-6   1.72222E-6  
  2.47778E-6    2.47222E-6    1.27778E-6   1.47222E-6  
  2.52833E-5    -6.01861E-5   1.25E-6      1.25E-6     
