#SELECT
#   TOP 10000
#   pmra, pmde, e_pmra, e_pmde
#   FROM ppmxl.main
#   WHERE 
#      1=CONTAINS(POINT('ICRS', raj2000, dej2000),
#                 CIRCLE('ICRS', 6.3, 64.1, 1 ))
#	and (r1mag-kmag)<1.3
#	and e_kmag<0.4
#	and r1mag>16

# pmra        pmde        e_pmra     e_pmde    
  4.45556E-6  5.25417E-5  1.52778E-6 1.30556E-6
  -8.80556E-7 5.55556E-9  1.41667E-6 1.19444E-6
  8.42778E-6  -9.95111E-5 1.30556E-6 1.38889E-6
  -5.15833E-6 5.27028E-5  1.25E-6    1.27778E-6
  -1.81389E-5 -6.32222E-5 1.69444E-6 1.69444E-6
  5.80778E-5  -6.69833E-5 1.36111E-6 1.5E-6    
  -1.7075E-5  -6.54833E-5 1.30556E-6 1.63889E-6
  6.04722E-6  -5.64722E-6 1.08333E-6 1.08333E-6
  2.79361E-5  -2.92583E-5 1.27778E-6 1.27778E-6
  -2.03583E-5 6.52028E-5  1.30556E-6 1.38889E-6
  -1.40111E-5 8.97222E-7  1.13889E-6 1.13889E-6
  -9.19722E-6 -4.39444E-6 1.55556E-6 1.55556E-6
  9.16944E-6  4.45278E-6  1.22222E-6 1.22222E-6
  -4.26389E-6 5.27778E-6  1.72222E-6 1.72222E-6
  -1.195E-5   2.15778E-5  1.72222E-6 1.72222E-6
  -2.46194E-5 -4.69806E-5 1.58333E-6 1.69444E-6
  -3.99028E-5 6.04722E-6  1.25E-6    1.25E-6   
  4.25139E-5  -4.21222E-5 1.25E-6    1.30556E-6
  -4.48028E-5 -2.08917E-5 1.69444E-6 1.69444E-6
  -4.03583E-5 -3.08028E-5 1.27778E-6 1.27778E-6
  -7.08889E-6 -7.26944E-6 1.58333E-6 1.58333E-6
  3.65556E-6  -3.35278E-6 1.11111E-6 1.11111E-6
  -1.21111E-5 4.19778E-5  1.22222E-6 1.36111E-6
  4.16889E-5  -5.39139E-5 1.19444E-6 1.19444E-6
  1.33028E-5  -5.91917E-5 1.38889E-6 1.38889E-6
